81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 1, 0, 0
64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 0, 0, 0
21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 1, 2, 0
4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0
81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 1, 0, 0
64, 64, 64, 64, 64, 64, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 64, 64, 64, 64, 64, 64, 0, 0, 0
21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 1, 2, 0
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 0
81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 1, 0, 0
64, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 0, 0, 0
21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 1, 2, 0
4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0
81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 1, 0, 0
64, 64, 64, 64, 64, 64, 64, 64, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 64, 64, 64, 64, 64, 0, 0, 0
21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 1, 2, 0
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 0
